ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
GC5005,18,0.49,11.47,265.0,LCDM-NFW,0.7929482461811546,0.7929482461811546,-0.03586514727723866,both_finite,0.0,0.05886660168988343,0.8375729052571067,74.45194515964626,77.52886823656934,78.01343219123092,nan,nan,nan,nan,1.707422819153907,-0.09968403187916577,0.10997897503483023,True,False,nan,nan,nan,0.0,nan,1,1,0,OK
GC2403,73,0.16,20.87,136.0,LCDM-NFW,20.78937786975777,20.78937786975777,5.201656794326823,both_finite,0.030084228515625,1.0000694491198796,0.9831305972511449,187.092452872928,187.68068816704564,196.25429063752156,nan,nan,nan,nan,0.1516725012869842,0.9219660245258741,0.0004011402974220554,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC2683,11,2.89,34.62,212.0,LCDM-NFW,-0.5436297367648351,-0.5436297367648351,0.33225802823313444,both_finite,0.0,0.9526273006368127,0.8661870297461156,53.55672823760273,60.22339490426939,55.14830932879621,nan,nan,nan,nan,2.4886138426917475,-0.24568457544048125,0.8931086551833168,False,False,nan,nan,nan,0.0,nan,1,1,2,OK
GC5033,22,0.76,44.59,225.0,LCDM-NFW,35.58678503329591,35.58678503329591,0.5476455015207939,both_finite,0.01663055419921875,0.9999980049771298,0.8685255559823972,71.18779167515154,73.54073285162214,75.55196148858481,nan,nan,nan,nan,0.5881021496096046,0.711617119471928,0.06124535698772506,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC2841,50,3.44,63.64,323.0,LCDM-ISO,-37.76151768936094,-37.76151768936094,0.18320547561177136,both_finite,0.010000610351562505,0.9999861050670175,0.8689112906946576,186.73066490121633,187.61955379010521,194.37875692292891,nan,nan,nan,nan,0.3467520667233411,0.8082680578865755,0.9473800626657528,False,True,nan,nan,nan,-2.740578214029739,nan,0,1,0,OK
GC5055,28,0.72,54.59,206.0,LCDM-NFW,17.433813732178365,17.433813732178365,8.965979428642932,both_finite,0.00732421875,1.0000574594687988,0.9753568192010001,60.031868483500375,61.770998918282984,65.36068652420118,nan,nan,nan,nan,1.0289452950283344,0.4852297050401184,0.06260860559758206,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC2903,34,0.32,24.96,216.0,LCDM-NFW,15.184257841660298,15.184257841660298,20.09772209734153,both_finite,0.18420410156250003,0.9999351208004563,0.7920037799700343,205.91910531138745,207.29841565621504,212.0245474098521,nan,nan,nan,nan,0.3957561670354613,0.577836499470685,0.0020061897105101032,False,True,nan,nan,nan,0.0,nan,1,1,2,OK
GC5371,19,1.45,46.24,242.0,LCDM-NFW,-2.8273934269800804,-2.8273934269800804,2.997881487255192,both_finite,0.054327392578125,0.999992471899118,-0.09982948020300864,104.2699347450256,107.12707760216846,108.04769066169135,nan,nan,nan,nan,0.37106528033134073,0.5443505329252916,0.15842795526731265,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC5585,24,0.09,10.96,92.3,LCDM-NFW,-9.220126095555628,-9.220126095555628,-0.3037299159630322,both_finite,0.081231689453125,0.9999792898886822,0.9768468469167707,73.87285192199273,75.97811507988747,78.58506724338451,nan,nan,nan,nan,0.7783479597923159,0.6094613236269854,0.47600400888033023,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC2915,30,0.34,10.04,86.5,LCDM-ISO,-15.206550921083533,-15.206550921083533,-4.5043636045465405,both_finite,0.0,0.4805425337577847,0.9001998831713498,111.4179454130249,113.01794541302489,117.02273493967351,nan,nan,nan,nan,0.33296940629855115,0.8101221014371063,0.004739364091542373,True,True,nan,nan,nan,-1.6167377494432271,nan,2,1,2,OK
GC2955,24,0.75,35.43,276.0,LCDM-NFW,6.899086928139994,6.899086928139994,-0.02400958342557402,both_finite,0.03670043945312501,1.0000633736886382,0.7930585468782937,123.22510658470449,125.33036974259923,127.93732190609627,nan,nan,nan,nan,1.0130204211391336,0.384171884517839,0.3098766083455951,False,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC5907,19,5.03,50.33,235.0,LCDM-NFW,1.261416431305392,1.261416431305392,10.34078339099603,both_finite,0.02208251953125,0.9999728317011609,0.5743113060907896,70.21201886506446,73.06916172220733,73.98977478173023,nan,nan,nan,nan,0.8600210574629436,0.5739783585801759,0.0593954535581796,False,True,nan,nan,nan,0.0,nan,2,2,1,OK
GC2976,27,0.11,2.27,88.7,LCDM-ISO,-34.19093877111208,-34.19093877111208,-12.92426589758118,both_finite,0.0,0.3157182626876692,0.9946054590829219,40.2326632336679,42.05084505184972,45.416010697685216,nan,nan,nan,nan,1.0529103968987117,0.4505264523590418,0.775577181558083,True,True,nan,nan,nan,-1.6049766474482015,nan,0,2,0,OK
GC5985,33,3.54,34.72,305.0,LCDM-NFW,3.806856914831684,3.806856914831684,3.7536127140238307,both_finite,0.024298095703125,0.9999701076515551,0.8262165684901703,146.0528918269621,147.48146325553353,152.03892207282803,nan,nan,nan,nan,0.29873881579443007,0.8573126216241169,0.5831363453210958,False,True,nan,nan,nan,0.0,nan,1,1,2,OK
GC2998,13,0.33,42.28,214.0,LCDM-NFW,24.452746978459608,24.452746978459608,8.220023836482587,both_finite,0.008825683593750001,0.9999039579741021,0.9392309954704483,59.34334968907063,64.34334968907064,61.60314711891677,nan,nan,nan,nan,1.0859362269680277,0.40666310804488637,0.046350106693639904,False,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC6015,44,0.34,29.23,166.0,LCDM-ISO,-23.403934967079238,-23.403934967079238,0.7862004866137724,both_finite,0.034075927734375004,0.9999557718760096,0.9567420561752222,159.4216945179056,160.44733554354661,166.55845305357863,nan,nan,nan,nan,0.5282913694893585,0.7241005919962752,0.18309315647657357,False,True,nan,nan,nan,-1.702658306827546,nan,1,0,1,OK
