ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
DO168,10,0.41,4.12,55.0,LCDM-ISO,-11.47262869704403,-11.47262869704403,1.196675062132229,both_finite,0.07072753906250001,1.0000984101489774,0.9508519600058918,29.747241617744354,37.74724161774435,30.957581989720538,nan,nan,nan,nan,0.8457000037365136,0.6049004791210207,0.10982881584959886,False,True,nan,nan,nan,-2.298100131608029,nan,1,2,1,OK
GC1705,14,0.22,6.0,73.2,LCDM-NFW,-1.7633338080889942,-1.7633338080889942,-0.06340776863688191,both_finite,0.0,0.07918071758688683,0.9152142013203853,23.49510222158698,27.939546666031426,26.05133154004801,nan,nan,nan,nan,2.4436559735830397,-0.3657338287006095,0.04386509418474673,True,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC2366,26,0.12,6.06,53.7,LCDM-ISO,-23.62253169462386,-23.62253169462386,9.530252069501405,both_finite,0.0,0.8318128539560979,0.9616939212687504,55.45890678502227,57.36366868978418,60.4912929371082,nan,nan,nan,nan,0.345612378981695,0.8463720186425945,0.0004439113044579306,True,True,nan,nan,nan,-1.4324013279245733,nan,1,2,1,OK
GC2403,73,0.16,20.87,136.0,LCDM-NFW,20.79111080149815,20.79111080149815,5.200654336328299,both_finite,0.030084228515625,1.0000452254905292,0.9831314213727356,187.0905460725103,187.67878136662796,196.25238383710388,nan,nan,nan,nan,0.15167310240403303,0.9219661236703863,0.00040057412581830993,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC2683,11,2.89,34.62,212.0,LCDM-NFW,-0.5436832455202918,-0.5436832455202918,0.33224711175253674,both_finite,0.0,0.9526278313176908,0.8661868838395667,53.55672989561153,60.2233965622782,55.148310986805015,nan,nan,nan,nan,2.4886109751030743,-0.24568319951851136,0.8931083878061877,False,False,nan,nan,nan,0.0,nan,1,1,2,OK
GC2841,50,3.44,63.64,323.0,LCDM-ISO,-37.76157645391399,-37.76157645391399,0.18324351373222925,both_finite,0.010000610351562505,0.9999859903526008,0.8689113425111148,186.73055884267305,187.61944773156193,194.37865086438563,nan,nan,nan,nan,0.34675213383760384,0.808268023790332,0.9473807013187793,False,True,nan,nan,nan,-2.740580428106564,nan,0,1,0,OK
DO170,8,1.87,12.33,62.2,LCDM-NFW,-8.846259260324318,-8.846259260324318,0.6586032252215741,both_finite,0.04954833984375,1.0000968634551657,0.9585691304666349,20.639618705990348,33.97295203932368,20.95738487270969,nan,nan,nan,nan,1.1633222378896781,0.11571729235532634,0.07671689447546301,False,False,nan,nan,nan,0.0,nan,1,1,1,OK
GC2903,34,0.32,24.96,216.0,LCDM-NFW,15.179795829177749,15.179795829177749,20.09630137408626,both_finite,0.18420410156250003,1.0000562215888735,0.7920213793296191,205.920202049261,207.2995123940886,212.02564414772564,nan,nan,nan,nan,0.3957373181425365,0.5778329967385208,0.0020087516210015696,False,True,nan,nan,nan,0.0,nan,1,1,2,OK
GC2915,30,0.34,10.04,86.5,LCDM-ISO,-15.206077567392711,-15.206077567392711,-4.5043472256542,both_finite,0.0,0.48053304629538274,0.9001942782736447,111.41791623118453,113.01791623118453,117.02270575783315,nan,nan,nan,nan,0.33297220485040363,0.810110158628569,0.004732886361946069,True,True,nan,nan,nan,-1.6166799906135223,nan,2,1,2,OK
GC2955,24,0.75,35.43,276.0,LCDM-NFW,6.898810302791773,6.898810302791773,-0.023967055484931166,both_finite,0.03670043945312501,1.0000632848597153,0.7930584942111033,123.22509522631103,125.33035838420577,127.93731054770281,nan,nan,nan,nan,1.0130205612787941,0.3841719524016054,0.30987471883669165,False,True,nan,nan,nan,0.0,nan,1,1,0,OK
SO079-G014,15,0.41,16.67,178.0,LCDM-ISO,-12.942251206405047,-12.942251206405047,4.930338056842235,both_finite,0.024694824218750005,1.0000611188781525,0.9834655569331061,63.96915979975044,67.96915979975044,66.80136060415929,nan,nan,nan,nan,0.6628337529680107,0.622752492967201,0.017534839774132897,False,True,nan,nan,nan,-3.4847121223851643,nan,0,2,0,OK
GC2976,27,0.11,2.27,88.7,LCDM-ISO,-34.189673029589436,-34.189673029589436,-12.924194848599665,both_finite,0.0,0.3157185531810907,0.9946054690523788,40.23384997127146,42.05203178945328,45.41719743528878,nan,nan,nan,nan,1.052909789210482,0.4505272751583415,0.7755822145478533,True,True,nan,nan,nan,-1.6049317211797713,nan,0,2,0,OK
GC2998,13,0.33,42.28,214.0,LCDM-NFW,9.562923802864262,9.562923802864262,0.08659754753437454,both_finite,0.008825683593750001,0.9999231641608374,0.939206313726234,66.78498649343385,71.78498649343385,69.04478392328001,nan,nan,nan,nan,1.0858893551357438,0.4066699367579587,0.046339453519513504,False,True,nan,nan,nan,0.0,nan,1,1,1,OK
GC3109,25,0.26,6.45,67.3,LCDM-ISO,-106.87783376510998,-106.87783376510998,-6.882633743849041,both_finite,0.0,0.21859177976510957,0.9977282229596222,4.1120368071081845,6.1120368071081845,8.987540106580987,nan,nan,nan,nan,1.3671869332882913,0.2827617967060455,0.365609115263145,True,False,nan,nan,nan,-6.919193341907746,nan,0,1,0,OK
GC3198,43,0.32,44.08,157.0,LCDM-ISO,-36.845363440218335,-36.845363440218335,0.15791657772337686,both_finite,0.007232666015625,0.9999905760920276,0.9751261984930831,156.22343774575387,157.27606932470124,163.26823820852812,nan,nan,nan,nan,0.3885980311975062,0.801236349724649,0.05345210898571895,False,True,nan,nan,nan,-2.9974579288891894,nan,1,0,1,OK
SO116-G012,15,0.25,9.86,112.0,LCDM-ISO,-14.359253479757847,-14.359253479757847,2.3988478753469415,both_finite,0.011138916015625002,1.0000024419379094,0.9898891627632317,39.50073842170386,43.50073842170386,42.3329392261127,nan,nan,nan,nan,1.3559963181025474,0.23301514494093425,0.06196256121477967,False,False,nan,nan,nan,-1.7543006540884165,nan,0,1,0,OK
SO444-G084,7,0.26,4.44,63.1,LCDM-NFW,-6.972607586155473,-6.972607586155473,-0.8906998271591071,both_finite,0.01416015625,0.9999805338728462,0.9773746036877137,19.665041119626707,39.66504111962671,19.448681715847957,nan,nan,nan,nan,0.8348464685049181,0.18937019772876687,0.16277456108635954,False,False,nan,nan,nan,0.0,nan,1,1,1,OK
GC3521,41,0.51,17.74,220.0,LCDM-NFW,-7.2850601719118515,-7.2850601719118515,-3.063565615562201,both_finite,0.0,0.2662704192026442,0.9129628640993199,134.20188340749903,135.31299451861014,141.05617167431626,nan,nan,nan,nan,0.3429472764122117,0.8281867174976634,0.11067613315569512,True,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC3726,12,3.5,32.52,169.0,LCDM-NFW,-1.6218497804046663,-1.6218497804046663,0.015217416618071411,both_finite,0.04324340820312501,1.0000381541040808,0.8763099365391439,53.89212300830093,59.60640872258664,55.83174960745293,nan,nan,nan,nan,1.000631853017421,0.4494255348914883,0.37352926827328103,False,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC3741,21,0.23,7.0,51.6,LCDM-NFW,4.0859521222653505,4.0859521222653505,1.6417738527814656,both_finite,0.0,0.3911010859909815,0.9873172817167432,18.0356537799065,20.5356537799065,22.213743530800194,nan,nan,nan,nan,0.9794548687395902,0.5101102999824695,0.14077960288990948,True,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC3769,12,1.74,37.16,126.0,LCDM-NFW,2.6219002446858397,2.6219002446858397,0.79486708557857,both_finite,0.0,0.5508665886973987,0.8701675873080694,38.978172085469154,44.69245779975487,40.917798684621154,nan,nan,nan,nan,0.9887635854137469,0.5049063487325967,0.849824194382959,True,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC3877,13,0.87,11.35,171.0,LCDM-ISO,-12.42038234305403,-12.42038234305403,6.034083829649433,both_finite,0.050634765624999994,0.9999836553053636,0.9587192177744785,66.29324356168549,71.29324356168549,68.55304099153163,nan,nan,nan,nan,0.4164119228340856,0.5650888374525298,0.04050102273520365,False,True,nan,nan,nan,-5.764014195251498,nan,1,2,1,OK
GC3893,10,1.74,19.05,194.0,LCDM-NFW,2.8684989272413617,2.8684989272413617,-0.43589397039514743,both_finite,0.0,0.6265716904212087,0.8709699694529833,39.84697724336391,47.84697724336391,41.0573176153401,nan,nan,nan,nan,1.4432421320583269,0.1229988701963058,0.6740645937319281,True,False,nan,nan,nan,0.0,nan,0,0,0,OK
SO563-G021,30,0.45,42.41,321.0,LCDM-ISO,-26.13622758916034,-26.13622758916034,8.82046608115278,both_finite,0.09942626953125001,1.0000654221740974,0.9346968381018826,199.0545024944793,200.6545024944793,204.65929202112792,nan,nan,nan,nan,0.49605875705148134,0.7538490158874263,0.051149968274388335,False,True,nan,nan,nan,-13.182830168836961,nan,0,1,1,OK
561-1,6,1.61,9.66,50.4,LCDM-NFW,-2.4268310381448046,-2.4268310381448046,-0.09039496203020647,both_finite,0.0,0.5842296006690577,0.8275647100288918,24.494056113032265,64.49405611303226,23.661093989944483,nan,nan,nan,nan,1.0940195281435734,0.01363930399551059,0.12121179809518412,True,False,nan,nan,nan,0.0,nan,1,1,1,OK
GC3917,17,0.87,14.86,138.0,LCDM-NFW,-1.2117142601992583,-1.2117142601992583,0.6298003358533251,both_finite,0.18422851562500003,0.9999046923130539,0.9615522370459408,71.97759192692263,75.31092526025596,75.31044530314749,nan,nan,nan,nan,0.5313444136491143,0.2974363817777628,0.024102684112062435,False,False,nan,nan,nan,0.0,nan,1,1,0,OK
GC3949,7,1.74,7.07,169.0,LCDM-NFW,-2.480529883183376,-2.480529883183376,-0.16333488655622297,both_finite,0.0,0.20101464859554866,0.9782881749161515,18.499741809068787,38.49974180906879,18.283382405290038,nan,nan,nan,nan,2.569539646982576,-0.3414431512185336,0.8388586912286393,True,True,nan,nan,nan,0.0,nan,0,0,0,OK
