ID,BIC_EGR,AICc_EGR,s_frac_EGR,chi2_red_x,rho_EGR,BIC_LCDM,AICc_LCDM,s_frac_LCDM,chi2_red_y,rho_LCDM,dBIC,dAICc,d_sfrac,d_rho
GC07524,40.49436381838456,37.15449177353311,0.0,0.1720883210541396,0.0409979214738409,45.52967252496872,41.33218524548967,0.0,0.3225784535971558,0.6574964341523841,5.035308706584161,4.177693471956559,0.0,0.6164985126785433
GC07524,40.49436381838456,37.15449177353311,0.0,0.1720883210541396,0.0409979214738409,45.529700190718906,41.33221291123986,0.0,0.3225618840813116,0.6573810079799518,5.035336372334349,4.177721137706747,0.0,0.616383086506111
GC07608,7.229184628434464,6.434769211636105,0.0,0.0327962842475181,-0.2919523915996395,13.59168008587772,26.60724725249171,0.0,0.0862936814417908,0.01272801088405,6.362495457443256,20.172478040855605,0.0,0.3046804024836895
GC07608,7.229184628434464,6.434769211636105,0.0,0.0327962842475181,-0.2919523915996395,13.591694738605682,26.607261905219673,0.0,0.0862937884342734,0.0127193847681209,6.362510110171218,20.172492693583568,0.0,0.3046717763677604
GC07608,7.229184628434464,6.434769211636105,0.0,0.0327962842475181,-0.2919523915996395,13.59176779270614,26.607334959320127,0.0,0.0862940077168157,0.0127146828647256,6.362583164271676,20.172565747684022,0.0,0.3046670744643651
GC4389,10.400954471026305,12.483359778745754,0.0,0.0406385313594451,-0.8815033749799622,16.967866460144325,57.800828583232104,0.0,0.2686659983194879,-0.3276768537630177,6.5669119891180205,45.31746880448635,0.0,0.5538265212169445
GC4389,10.400954471026305,12.483359778745754,0.0,0.0406385313594451,-0.8815033749799622,16.967940923957613,57.800903047045395,0.0,0.2686662383794862,-0.3276667635048156,6.5669864529313084,45.317543268299644,0.0,0.5538366114751466
GC01230,50.81272788924498,46.83377516126128,0.0,0.65665767447566,0.450949627587823,57.60842346491524,62.68350904038842,0.05791015625,0.9999875577470762,0.423231453185951,6.795695575670258,15.849733879127143,0.05791015625,-0.027718174401871964
GC01230,50.81272788924498,46.83377516126128,0.0,0.65665767447566,0.450949627587823,57.608480823710806,62.68356639918399,0.05791015625,0.9999776828400008,0.4232289814404329,6.795752934465824,15.849791237922709,0.05791015625,-0.02772064614739006
SO444-G084,12.519647144287417,13.060545653734284,0.0,0.1475571811122896,-0.5026057321156819,19.44661217572052,39.66297157949927,0.0141845703125,1.0000009769448328,0.1892617678970649,6.926965031433104,26.602425925764987,0.0141845703125,0.6918675000127468
SO079-G014,59.42894345254725,107.34844144152514,0.0,0.387042259484741,-0.28865097490622,66.80222233347689,67.97002152906805,0.0246826171875,0.999979438588054,0.6227771454864884,7.3732788809296395,-39.37841991245709,0.0246826171875,0.9114281203927084
GC3949,10.257331035431852,10.79822954487872,0.0,0.0080940037094711,-0.7226268636809764,18.283586780664532,38.49994618444328,0.0,0.2010130244230532,-0.341449306221495,8.02625574523268,27.70171663956456,0.0,0.3811775574594814
GC3949,10.257331035431852,10.79822954487872,0.0,0.0080940037094711,-0.7226268636809764,18.283830539749975,38.50018994352872,0.0,0.2009682441027891,-0.3417775735034573,8.026499504318123,27.701960398649994,0.0,0.3808492901775191
GC05005,12.172702819116155,8.193750091132449,0.0,0.0300926356347697,-0.100492422768167,20.23701294519185,25.312098520665035,0.0,0.0414786345894859,0.1737679551002003,8.064310126075695,17.11834842953259,0.0,0.2742603778683673
GC05005,12.172702819116155,8.193750091132449,0.0,0.0300926356347697,-0.100492422768167,20.23703991238004,25.312125487853223,0.0,0.0414787416966462,0.1737656127742899,8.064337093263886,17.118375396720772,0.0,0.27425803554245687
GC05005,12.172702819116155,8.193750091132449,0.0,0.0300926356347697,-0.100492422768167,20.237048590459366,25.31213416593255,0.0,0.0414749951207566,0.1738560192818614,8.064345771343211,17.118384074800105,0.0,0.2743484420500284
GC3877,60.47870945670037,164.829215882085,0.0,0.975428431509219,0.3669499163116643,68.55234082915086,71.29254339930472,0.0506347656249999,0.999930184768159,0.5650971325357945,8.073631372450492,-93.53667248278029,0.0506347656249999,0.19814721622413023
GC3877,60.47870945670037,164.829215882085,0.0,0.975428431509219,0.3669499163116643,68.55371162814109,71.29391419829494,0.0506347656249999,1.0000627235839066,0.565071750971787,8.075002171440715,-93.53530168379007,0.0506347656249999,0.19812183466012268
GC07261,-5.835798901663409,-5.29490039221654,0.0,0.0058900261932162,-0.8140579742123035,2.2830533900437,22.499412793822447,0.0,0.0331953693975503,-0.2032916763041633,8.118852291707109,27.794313186038988,0.0,0.6107662979081402
GC07261,-5.835798901663409,-5.29490039221654,0.0,0.0058900261932162,-0.8140579742123035,2.283070272729682,22.499429676508427,0.0,0.0331953660392397,-0.2033496842191348,8.11886917439309,27.794330068724967,0.0,0.6107082899931687
GC07261,-5.835798901663409,-5.29490039221654,0.0,0.0058900261932162,-0.8140579742123035,2.2830755415026633,22.49943494528141,0.0,0.0331953658194208,-0.2033280888702945,8.118874443166073,27.79433533749795,0.0,0.610729885342009
GCA281,-8.393352055629897,-7.852453546183028,0.0,0.0222187891474345,-0.6425709829191475,-0.1504534856817976,20.06590591809695,0.0,0.2459129587435046,-0.2872110828461613,8.2428985699481,27.918359464279977,0.0,0.3553599000729862
GCA281,-8.393352055629897,-7.852453546183028,0.0,0.0222187891474345,-0.6425709829191475,-0.1493420861074854,20.06701731767126,0.0,0.2459148093739753,-0.2872822848993929,8.244009969522413,27.91947086385429,0.0,0.3552886980197546
GCA281,-8.393352055629897,-7.852453546183028,0.0,0.0222187891474345,-0.6425709829191475,-0.1490282408241814,20.067331162954567,0.0,0.2459149020547575,-0.2872855583123148,8.244323814805716,27.919784709137595,0.0,0.3552854246068327
GC12632,2.952465636375507,50.8719636253534,0.0,0.0653908444518071,-0.3954053060325867,11.477843715685506,12.645642911276664,0.0,0.0931930168299967,0.1580730181046027,8.525378079309998,-38.226320714076735,0.0,0.5534783241371894
GC12632,2.952465636375507,50.8719636253534,0.0,0.0653908444518071,-0.3954053060325867,11.481050193480764,12.648849389071923,0.0,0.0931924869864313,0.1580718043118935,8.528584557105257,-38.223114236281475,0.0,0.5534771103444802
GC12632,2.952465636375507,50.8719636253534,0.0,0.0653908444518071,-0.3954053060325867,11.481057585760547,12.648856781351707,0.0,0.0931930017802733,0.1580735487299537,8.52859194938504,-38.22310684400169,0.0,0.5534788547625404
DO168,21.80711909620905,18.78126816626859,0.044976806640625,0.9999950332561924,-0.5042738369463392,30.95785744679789,37.74751707482171,0.070733642578125,1.000013676080775,0.6049453882440399,9.150738350588842,18.96624890855312,0.025756835937500007,1.1092192251903792
GC07690,9.06818320068436,9.609081710131228,0.0,0.0854022734174523,-0.3293458919125735,18.68072244231609,38.897081846094835,0.0,0.5958051033058476,-0.1912815613899766,9.61253924163173,29.288000135963607,0.0,0.13806433052259692
GC07690,9.06818320068436,9.609081710131228,0.0,0.0854022734174523,-0.3293458919125735,18.680735959384755,38.8970953631635,0.0,0.5958032636822831,-0.191280939597868,9.612552758700396,29.288013653032273,0.0,0.13806495231470553
GC07690,9.06818320068436,9.609081710131228,0.0,0.0854022734174523,-0.3293458919125735,18.68083588440879,38.89719528818753,0.0,0.5958063455287054,-0.1912804637779762,9.61265268372443,29.288113578056304,0.0,0.13806542813459732
GC0024,86.5623398838373,85.11160380619478,0.0,0.2862084009954463,0.5381164265573223,96.19768345569632,92.3951668024171,0.0,0.4077821031371245,0.6088566417241987,9.635343571859025,7.283562996222315,0.0,0.07074021516687645
GC51017,-27.801812535267533,-25.71940722754808,0.0,0.0007094547914544,-1.17605496052723,-18.02615782024595,22.806804302841833,0.0,0.0108606382936811,-0.249894746584776,9.775654715021584,48.526211530389915,0.0,0.9261602139424538
GC51017,-27.801812535267533,-25.71940722754808,0.0,0.0007094547914544,-1.17605496052723,-18.026116021801226,22.80684610128656,0.0,0.010860639128673,-0.2498933831908511,9.775696513466308,48.52625332883464,0.0,0.9261615773363788
GC3917,65.37717090253989,93.7117041286444,0.01912841796875,1.000064363519006,0.3105561035748683,75.31116038254241,75.31164033965088,0.1842041015625,1.0000595053190724,0.2974397260544696,9.933989480002523,-18.40006378899352,0.16507568359375,-0.013116377520398681
GC3917,65.37717090253989,93.7117041286444,0.01912841796875,1.000064363519006,0.3105561035748683,75.32489227359954,75.32537223070801,0.1842041015625,1.000054464918297,0.2974456894677922,9.947721371059657,-18.386331897936387,0.16507568359375,-0.013110414107076085
GC11820,22.19949552693164,19.173644596991178,0.0,0.4997628287687697,-0.581634542898596,32.29652487574688,39.086184503770696,0.0,0.6334914451378619,0.2834012923159436,10.097029348815244,19.912539906779518,0.0,0.8650358352145395
GC11820,22.19949552693164,19.173644596991178,0.0,0.4997628287687697,-0.581634542898596,32.29682177095113,39.086481398974946,0.0,0.633483303327619,0.2833923701791883,10.097326244019488,19.91283680198377,0.0,0.8650269130777842
GC11820,22.19949552693164,19.173644596991178,0.0,0.4997628287687697,-0.581634542898596,32.29703286836572,39.08669249638953,0.0,0.6334894712923644,0.2833963014300805,10.09753734143408,19.913047899398354,0.0,0.8650308443286765
GC4088,39.0345565264097,254.1854900285297,0.0,0.3247748404217533,-0.3033150443468373,49.638237910638374,53.41289702577209,0.0,0.5632872325975674,-0.158517680484004,10.603681384228672,-200.77259300275762,0.0,0.14479736386283332
GC4088,39.0345565264097,254.1854900285297,0.0,0.3247748404217533,-0.3033150443468373,49.638643257326045,53.41330237245976,0.0,0.563288415362115,-0.1585615461480317,10.604086730916343,-200.77218765606995,0.0,0.14475349819880562
GC11557,38.037612075375726,253.18854557749572,0.0,0.2669617856872365,0.403992599344488,48.89128081317299,52.665939928306706,0.0,0.6334949784931135,0.6031782075396513,10.853668737797264,-200.52260564918902,0.0,0.19918560819516334
GC11557,38.037612075375726,253.18854557749572,0.0,0.2669617856872365,0.403992599344488,48.891325092728515,52.66598420786223,0.0,0.6334971846770028,0.6031800338239922,10.853713017352788,-200.52256136963348,0.0,0.1991874344795042
GC11557,38.037612075375726,253.18854557749572,0.0,0.2669617856872365,0.403992599344488,48.89142766292124,52.666086778054954,0.0,0.6334834747943292,0.6031694535853299,10.853815587545512,-200.52245879944076,0.0,0.19917685424084192
GC0891,77.27445204721815,99.79930589682792,0.0,0.6274060111869463,0.121937556869538,88.25909287984047,87.77452892517888,0.018695068359375,1.000008216345012,0.4339355702106867,10.984640832622318,-12.024776971649032,0.018695068359375,0.3119980133411487
GC0891,77.27445204721815,99.79930589682792,0.0,0.6274060111869463,0.121937556869538,88.25909739432846,87.77453343966688,0.018695068359375,1.000021426691267,0.4339749113548987,10.984645347110316,-12.024772457161035,0.018695068359375,0.3120373544853607
GC02885,75.26736969661327,93.32297990494888,0.0,0.2354586417870982,-0.3319985894653436,86.3480171452957,85.42740408577279,0.0,0.6776829001092154,0.1479328256791993,11.080647448682427,-7.895575819176088,0.0,0.4799314151445429
GC02885,75.26736969661327,93.32297990494888,0.0,0.2354586417870982,-0.3319985894653436,86.34811450775291,85.42750144823002,0.0,0.6776822258210182,0.1479306112360739,11.080744811139638,-7.8954784567188625,0.0,0.47992920070141754
GC07323,7.424270419710121,4.39841948976966,0.0,0.1402846127063742,-0.5278220075531018,18.648408747671443,25.43806837569526,0.0,0.2762416364435628,0.2398835685131901,11.224138327961322,21.0396488859256,0.0,0.7677055760662919
