ID,n,n_outer,finite_outer,r2_outer,frac_used,A,A_err,B,B_err,alpha_log,alpha_log_err,cC2,cC2_err,alpha_Ric,alpha_Ric_err
GC0801,13,3,1.00,0.99,0.35,1121.7463391674396,0.9052369116117105,330100.70668047183,526.8464701689389,188168.96214682475,243.06783251597182,560.8731695837198,0.45261845580585525,188168.96214682475,243.06783251597182
GC08286,17,3,1.00,0.98,0.35,52.79629956729465,0.607578762852523,-183.29157056723454,5.803936310426301,6.317071631024074,3.487473716986959,26.398149783647327,0.3037893814262615,6.317071631024074,3.487473716986959
GC08490,30,3,1.00,0.99,0.35,83.1629923329386,4.493053428331357,-282.2792579174659,49.54085510806651,-230.98786347148516,43.71202858219468,41.5814961664693,2.2465267141656784,-230.98786347148516,43.71202858219468
GC08550,11,3,1.00,0.99,0.35,53.892113311214146,0.10194257354990001,-249.05093432035142,0.61248266010472,91.51255287419929,0.23840136912631862,26.946056655607073,0.050971286774950005,91.51255287419929,0.23840136912631862
GC08699,41,3,1.00,0.99,0.35,920.7961611803444,1.1362986060893412,7661.954424592295,34.889782416018726,32702.559423191695,61.13540340622205,460.3980805901722,0.5681493030446706,32702.559423191695,61.13540340622205
GC08837,8,3,1.00,0.93,0.35,3.4570994345215498,0.006949982723389004,-4.592739798646612,0.028476125587064485,0.7644291052755456,0.008967882401479086,1.7285497172607749,0.003474991361694502,0.7644291052755456,0.008967882401479086
GC0891,18,3,1.00,1.00,0.35,61.086061231475064,0.051360749134727816,-441.5390900822108,0.19036296083473936,1322.0799711996222,1.355836615299087,30.543030615737532,0.025680374567363908,1322.0799711996222,1.355836615299087
GC09037,22,3,1.00,0.98,0.35,343.975992808055,1.6181678875120762,17369.170861868086,101.01473325180037,21350.957464592124,116.46184593035711,171.9879964040275,0.8090839437560381,21350.957464592124,116.46184593035711
GC09133,68,3,1.00,1.00,0.35,16801.10825977828,52.31285293720046,34271790.358485274,189401.00816038653,10837131.210081877,53762.29548205871,8400.55412988914,26.15642646860023,10837131.210081877,53762.29548205871
GC1003,36,3,1.00,1.00,0.35,-2634.3955664876676,59.07245468675857,-247356.4167151994,5493.209639038517,-249506.04648286317,5165.794184779866,-1317.1977832438338,29.536227343379284,-249506.04648286317,5165.794184779866
GC10310,7,3,1.00,0.98,0.35,41.05515292486898,0.025595860489566417,-269.8055337341973,0.2131839394821401,121.04272503365105,0.10529803401839066,20.52757646243449,0.012797930244783208,121.04272503365105,0.10529803401839066
GC1090,24,3,1.00,1.00,0.35,666.089290979831,4.165205397108475,30077.850505897735,357.6248020135269,39671.79893737792,349.8742246635241,333.0446454899155,2.0826026985542376,39671.79893737792,349.8742246635241
GC11455,36,3,1.00,0.99,0.35,1121.8001607294825,3.4565563104727404,175309.41088934982,913.7523976201072,127732.72511071335,550.3330421392943,560.9000803647413,1.7282781552363702,127732.72511071335,550.3330421392943
GC11557,12,3,1.00,1.00,0.35,14.494200257077729,0.00619722287711437,-165.70181701278895,0.06538695776352221,106.535284026197,0.04350388675983355,7.2471001285388645,0.003098611438557185,106.535284026197,0.04350388675983355
GC11820,10,3,1.00,0.98,0.35,315.8597715223951,0.1750331217526264,-3208.060988153969,1.9277815637184024,3004.777326798708,2.746401897992341,157.92988576119754,0.0875165608763132,3004.777326798708,2.746401897992341
GC11914,65,3,1.00,0.99,0.35,32.573578960904634,0.010953235267971293,-303.2345517646552,0.11421431648952347,176.57201876057871,0.07738030349311846,16.286789480452317,0.0054766176339856466,176.57201876057871,0.07738030349311846
GC12506,31,3,1.00,1.00,0.35,-639.6421602559035,34.181020582589625,-647198.1290532813,16587.76466548426,-289622.3143018546,8068.312612521934,-319.82108012795175,17.090510291294812,-289622.3143018546,8068.312612521934
GC12632,15,3,1.00,0.99,0.35,92.840580031284,0.48136970260331413,-763.4593163837548,5.340761577094584,521.8412754611645,4.762572898441606,46.420290015642,0.24068485130165707,521.8412754611645,4.762572898441606
GC12732,16,3,1.00,1.00,0.35,379.8050143733339,1.420670173390347,-3234.46808267782,11.289900319065193,5400.522925344246,29.42359626500916,189.90250718666695,0.7103350866951735,5400.522925344246,29.42359626500916
