ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
GC6503,31,0.76,23.5,121.0,EGR-10,-127.95567526823453,-127.95567526823453,7.3007678157650275,F7_fallback,0.0,0.6204526924822181,0.9739837731254236,32.897922643172,43.897922643172,47.23779468802346,338.19275743237273,18.631609209125028,2.8875964609076155,1.7078698667340653,1.313588204062685,0.33949858633771895,0.3426532155832531,True,True,nan,nan,nan,-48.16677314306927,nan,0,0,2,OK
GC6674,15,2.5,72.41,291.0,EGR-10,-42.907773162849054,-42.907773162849054,3.389735123424664,F7_fallback,0.0,0.6531939105573826,0.961956099886858,62.17735140817265,117.17735140817265,69.25785341919475,525.6525749538087,24.350696492268494,66.23418627836912,9.092892763040728,2.7709758720741875,-0.46324432879572486,0.0900814036401009,True,True,nan,nan,nan,-18.274060295259517,nan,1,0,1,OK
GC6789,4,nan,nan,nan,NA,nan,nan,nan,both_fail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,0,0,0,too_few_points
GC6946,58,0.19,20.4,181.0,EGR-10,-175.3056149324649,-175.3056149324649,6.748827836943974,F7_fallback,0.0,0.9493090204376099,0.7707657413832415,245.52978703024996,250.21063809407974,266.13421713571415,467.08565956208884,19.15271780889146,5.9322503295154485,1.986206487393164,0.5991727400171648,0.7028469671700254,3.6224634895399664e-08,False,True,nan,nan,nan,-28.192054467486585,nan,1,0,1,OK
GC7331,36,2.67,36.31,257.0,EGR-10,-205.30998884759666,-205.30998884759666,-11.89670994428954,F7_fallback,0.0,0.24428233917899933,0.9048731684486376,85.92788734996887,94.72788734996887,101.76307673452996,1151.6684993941408,85.67395557400773,2.136000000000099,6.061081816040917,1.291982165536206,0.33132495015721186,0.1312982562080806,True,True,nan,nan,nan,-47.72623177704492,nan,3,0,2,OK
GC7793,46,0.11,7.87,116.0,EGR-10,-284.81856595760934,-284.81856595760934,-1038.4508004120082,F7_fallback,0.0,0.41108856560168366,0.984153077907859,143.58209377765507,149.86780806336935,161.86850774254606,15.047745036992323,54.216868902992154,4.9533611832542865,2.170175502285148,0.3557869960916941,0.7845183720032359,0.9507688057699358,True,True,nan,nan,nan,-92.13458350708385,nan,2,0,2,OK
GC7814,18,0.63,19.53,265.0,EGR-10,-148.72960461034768,-148.72960461034768,-2.0871872976661656,F7_fallback,0.0,0.030172133287934985,0.995233259767913,17.586261019046823,49.01483244761825,26.48997859800847,566.921927439163,18.32174178935649,6.960514459503768,2.8195340451415793,2.599459051276213,-0.31271714058021366,0.038347494686101595,True,True,nan,nan,nan,-73.14834890772315,nan,0,0,0,OK
GC51017,6,0.33,3.63,20.5,EGR-10,-91.38926918917791,-91.38926918917791,-145.52568620123702,F7_fallback,0.0,0.0007094547914544111,0.9992912820752666,-25.719407227548082,-25.719407227548082,-27.801812535267533,4.065897020990664,2.979678543518667,1.9695820313956578,0.18150045867174455,2.403091221875299,-1.17605496052723,0.04551117514923867,True,True,nan,nan,nan,-70.3474770356187,nan,3,0,3,OK
GC00128,22,1.25,53.75,134.0,EGR-10,-114.90666076910418,-114.90666076910418,-56.523490315030315,F7_fallback,0.019097900390625,0.9999984892410417,0.94767016629275,92.25006938599986,112.25006938599986,103.16049391958302,638.0290464064398,2.530830282704163,26.34300686173841,5.2292108810761695,1.4284533451901424,0.21541951058181927,0.11419392870481618,False,False,nan,nan,nan,-98.8649840066521,nan,2,0,2,OK
GC00191,9,0.62,9.98,83.85,EGR-10,-70.61800293317924,-70.61800293317924,-107.78608907093589,F7_fallback,0.06685180664062501,1.0000105996675754,0.9960277968798659,23.285973097349903,23.285973097349903,25.2582188707121,304.2111218733246,21.69475249948494,2.4248196765488257,1.2764331755699962,3.3131012725145994,-0.6606004531772627,0.26350001175558097,False,True,nan,nan,nan,-87.38304007463988,nan,1,0,1,OK
GC00634,4,nan,nan,nan,NA,nan,nan,nan,both_fail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,0,0,0,too_few_points
GC00731,12,0.91,10.91,74.0,EGR-10,-107.77147520206962,-107.77147520206962,-70.05357440821778,F7_fallback,0.0,0.2182215432501193,0.9984732669146692,4.739773260054788,224.7397732600548,9.58883975793479,134.0179503406915,26.06877329331011,9.569426881007642,4.221521261387995,2.9190504816001135,-0.578578598054773,0.4556401801985914,True,True,nan,nan,nan,-63.87958385629004,nan,2,0,2,OK
GC00891,5,1.48,7.39,63.75,EGR-10,-44.913266057026874,-44.913266057026874,-37.77964035536317,F7_fallback,0.0,0.13132565098786683,0.9993211687150921,10.043580369448359,10.043580369448359,6.137959493789362,83.29944467731947,3.114932165133276,3.5650976012237083,1.8038959269283885,2.7890621070852575,-0.6854437104977382,0.0816892360154348,True,True,nan,nan,nan,-53.06851056656086,nan,2,0,3,OK
GC01230,11,0.78,36.54,113.0,EGR-10,-69.25723953082941,-69.25723953082941,-156.8272741017817,F7_fallback,0.0,0.65665767447566,0.9846020745237872,46.83377516126128,46.83377516126128,50.81272788924498,225.53994273244138,20.547182986019454,5.391344668326955,1.8270000000000002,1.0613723081968076,0.45094962758782303,0.8175551808237099,True,True,nan,nan,nan,-105.9862223360615,nan,3,0,3,OK
GC01281,25,0.08,4.99,56.9,EGR-10,-274.95499844132985,-274.95499844132985,-5019.809627534051,F7_fallback,0.0,0.0068176548660373775,0.9997391476775431,-42.88093370717773,-27.166647992892017,-30.692175458495726,10.769280454820562,8.46963177768003,2.88068813220372,1.0041772318693787,1.2958388719387721,0.2948502860424658,0.4465906914208547,True,False,nan,nan,nan,-84.03508526905064,nan,1,0,1,OK
GC02023,5,0.76,3.78,58.8,EGR-10,-215.1110590470431,-215.1110590470431,-57.71527600788332,F7_fallback,0.0,2.0556626035623265e-19,1.0,-181.56805284982636,-181.56805284982636,-185.47367372548536,72.99006306617308,6.8000231844634484,1.8021529974323696,0.2545381558424489,2.500904911111147,-1.233096366402293,0.02534836859097306,True,True,nan,nan,nan,-49.781245328351375,nan,1,0,1,OK
GC02259,8,1.02,8.14,90.0,EGR-10,-148.84894143744916,-148.84894143744916,-1.8316371715190982,F7_fallback,0.0,1.7057845214077018e-05,0.9999999456245822,-76.24122254115753,-76.24122254115753,-75.44680712435917,273.11323973409975,8.8155894492724,2.824994592721024,1.1154804067279809,3.7133430206079776,-0.8579437616242449,0.3968734124730776,True,True,nan,nan,nan,-39.559899176805345,nan,0,0,0,OK
GC02455,8,0.5,4.03,61.0,EGR-10,-70.41864506535144,-70.41864506535144,-143.3298819180752,F7_fallback,0.0,0.13623667653412763,0.9988382756609421,8.089313475933942,8.089313475933942,8.8837288927323,49.64008030666586,10.205249594186572,3.935905329381245,0.39190180358249116,2.756444301406328,-0.41701121061326296,0.11967026341068997,True,True,nan,nan,nan,-56.73027729989404,nan,1,0,1,OK
GC02487,17,9.93,80.38,383.0,EGR-10,-139.46452930279733,-139.46452930279733,-1.0848584628209892,F7_fallback,0.0,0.059416454413171615,0.995091839773518,32.69533217541249,69.36199884207915,41.02746561597465,503.22098921318644,51.233744098200525,31.585659030260274,9.75375436535682,1.7796053124733515,0.026381490022497445,0.2101465258040947,True,False,nan,nan,nan,-111.3100334511981,nan,0,0,0,OK
GC02885,19,1.7,74.07,305.0,EGR-10,-94.41224937164631,-94.41224937164631,-1.0484243673210507,F7_fallback,0.0,0.23545864178709822,0.9370529864523892,65.82297990494887,93.32297990494887,75.26736969661327,456.0490302257328,105.87688708219721,7.614877900613167,13.092401123021226,2.602161447146912,-0.3319985894653436,0.0380345163204216,True,True,nan,nan,nan,-47.20495586233342,nan,1,0,1,OK
GC02916,43,0.37,38.0,218.0,EGR-10,-97.48556602224002,-97.48556602224002,-3.4447414904671376,F7_fallback,0.0,0.6445604823423876,0.01027072975402643,215.93385393492343,222.80885393492343,233.54585509185907,880.4598805751718,20.47988427438263,9.25110681965954,3.040002868919057,0.3903538492179493,0.8695814608047937,0.3595473078423388,True,True,nan,nan,nan,-24.81200538545154,nan,2,0,0,OK
